,CountryName,Year,Value,CountryCode,hash
112.1972,St. Lucia,1972,29.75219,112,b17b65
115.1972,Lesotho,1972,8.89719,115,93b12b
117.1972,Luxembourg,1972,45.75766,117,507672
119.1972,"Macao SAR, China",1972,22.20459,119,eec526
121.1972,Morocco,1972,6.63684,121,32e087
124.1972,Madagascar,1972,8.88595,124,f92bcb
126.1972,Mexico,1972,18.50581,126,41937b
128.1972,Middle income,1972,27.76679993,128,bf919c
130.1972,Mali,1972,2.45223,130,daa6a4
131.1972,Malta,1972,52.10413,131,1a591a
132.1972,Myanmar,1972,15.80027,132,928b7c
133.1972,Middle East & North Africa (developing only),1972,17.89249992,133,aaed09
139.1972,Mauritius,1972,29.37565,139,26160d
140.1972,Malawi,1972,6.59069,140,0ce65b
141.1972,Malaysia,1972,30.24895,141,ff3ea3
142.1972,North America,1972,63.85593033,142,247ce5
145.1972,Niger,1972,0.62651,145,6687e1
146.1972,Nigeria,1972,3.45646,146,9742d0
147.1972,Nicaragua,1972,18.06152,147,481264
148.1972,Netherlands,1972,72.7149,148,fb61c8
149.1972,Norway,1972,84.07861,149,988455
150.1972,Nepal,1972,4.02355,150,0e1d58
151.1972,New Zealand,1972,77.84172,151,a2238e
152.1972,Oman,1972,0,152,c14c36
153.1972,Pakistan,1972,6.71408,153,82d220
154.1972,Panama,1972,45.91133,154,1e36b3
155.1972,Peru,1972,41.08559,155,36c572
159.1972,Poland,1972,76.55711,159,5ff03b
162.1972,Portugal,1972,35.90352,162,a49519
163.1972,Paraguay,1972,17.11909,163,71a452
164.1972,Pacific island small states,1972,52.28948975,164,ebe9cb
166.1972,Qatar,1972,32.25438,166,83ef3e
167.1972,Romania,1972,68.27578,167,d6b897
170.1972,South Asia,1972,13.79442978,170,edef51
173.1972,Senegal,1972,5.91464,173,d8973b
176.1972,Sierra Leone,1972,5.9976,176,50df2d
177.1972,El Salvador,1972,20.79598,177,259a6e
179.1972,Somalia,1972,1.37212,179,4dfdf1
182.1972,Sao Tome and Principe,1972,13.81918,182,6ddcb9
183.1972,Suriname,1972,40.78737,183,b17fc6
186.1972,Sweden,1972,75.47231,186,72ddd2
187.1972,Swaziland,1972,17.69598,187,c985df
189.1972,Seychelles,1972,36.99052,189,3d2d7b
190.1972,Syrian Arab Republic,1972,20.58055,190,48a9fd
192.1972,Chad,1972,0.33564,192,6c6b1b
193.1972,Togo,1972,4.12285,193,30949d
198.1972,Tonga,1972,80.13868,198,e8a123
199.1972,Trinidad and Tobago,1972,46.11351,199,4d206a
200.1972,Tunisia,1972,13.16201,200,edf404
201.1972,Turkey,1972,15.96863,201,d7153e
203.1972,Tanzania,1972,1.46627,203,7e380b
206.1972,Uruguay,1972,66.44095,206,66b989
207.1972,United States,1972,60.47674,207,768685
209.1972,St. Vincent and the Grenadines,1972,27.96214,209,68d122
210.1972,"Venezuela, RB",1972,39.37929,210,6cba5d
213.1972,Vanuatu,1972,5.75529,213,d16ad2
218.1972,"Congo, Dem. Rep.",1972,4.98734,218,7c927d
219.1972,Zambia,1972,9.34947,219,dcf25e
220.1972,Zimbabwe,1972,6.36755,220,5922f5
2.1973,Andorra,1973,13.56009,2,9d3bd1
3.1973,Afghanistan,1973,2.67262,3,c69153
6.1973,United Arab Emirates,1973,13.63034,6,d115b8
7.1973,Argentina,1973,52.2108,7,354bf9
14.1973,Burundi,1973,0.71216,14,461758
15.1973,Belgium,1973,81.68786,15,5cb4c9
16.1973,Benin,1973,3.85425,16,373616
17.1973,Burkina Faso,1973,0.83288,17,e71b56
18.1973,Bangladesh,1973,10.28156,18,fa6c37
19.1973,Bulgaria,1973,92.26079,19,5c7772
20.1973,Bahrain,1973,48.48969,20,3ae11c
23.1973,Belarus,1973,90.44143,23,027a12
25.1973,Bermuda,1973,91.45765,25,027ed3
28.1973,Barbados,1973,80.32411,28,93409a
29.1973,Brunei Darussalam,1973,54.83785,29,d1a713
31.1973,Botswana,1973,11.1724,31,180c89
32.1973,Central African Republic,1973,1.99308,32,dba867
33.1973,Canada,1973,93.76204,33,cd6a7b
36.1973,Chile,1973,59.55705,36,349507
38.1973,Cote d'Ivoire,1973,5.6058,38,58f76a
39.1973,Cameroon,1973,6.07808,39,73a7dd
40.1973,"Congo, Rep.",1973,18.09822,40,c0faa9
41.1973,Colombia,1973,34.29903,41,2f7373
42.1973,Comoros,1973,3.09208,42,e5bb59
44.1973,Costa Rica,1973,39.90131,44,1bf429
45.1973,Cuba,1973,24.11652,45,c484b1
48.1973,Cyprus,1973,61.17663,48,852add
49.1973,Czech Republic,1973,86.93888,49,1fef42
51.1973,Djibouti,1973,4.26901,51,60a8b0
52.1973,Dominica,1973,84.94149,52,bc1cd4
55.1973,Algeria,1973,8.2682,55,bd6acc
56.1973,Ecuador,1973,28.32545,56,09f199
57.1973,"Egypt, Arab Rep.",1973,22.60506,57,ff11f8
58.1973,Euro area,1973,78.63072968,58,a356c2
60.1973,Spain,1973,55.81956,60,20a8df
63.1973,Finland,1973,111.85607,63,c909b1
64.1973,Fiji,1973,59.79846,64,bbb7ef
65.1973,France,1973,83.74412,65,e3772a
67.1973,"Micronesia, Fed. Sts.",1973,140.23041,67,03e386
68.1973,Gabon,1973,12.32183,68,a06dcd
69.1973,United Kingdom,1973,76.36665,69,976912
71.1973,Ghana,1973,32.31019,71,317dba
73.1973,"Gambia, The",1973,4.5747,73,541212
76.1973,Greece,1973,61.91296,76,4902a4
79.1973,Guatemala,1973,8.86864,79,11760e
81.1973,Guyana,1973,70.00584,81,bc88a2
82.1973,"Hong Kong SAR, China",1973,36.00036,82,85a72d
86.1973,Hungary,1973,70.24572,86,f14e46
87.1973,Indonesia,1973,14.00103,87,35536a
89.1973,India,1973,14.92381,89,967ce3
90.1973,Ireland,1973,82.77702,90,eb2131
91.1973,"Iran, Islamic Rep.",1973,26.26793,91,e3f25e
92.1973,Iraq,1973,16.3213,92,1aed9e
94.1973,Israel,1973,77.57181,94,4c197d
95.1973,Italy,1973,60.5317,95,ad79ef
96.1973,Jamaica,1973,55.39802,96,5eedd6
97.1973,Jordan,1973,38.71693,97,674027
98.1973,Japan,1973,90.20123,98,fcf29f
100.1973,Kenya,1973,13.15026,100,a84f56
103.1973,Kiribati,1973,11.63726,103,3f57ad
105.1973,"Korea, Rep.",1973,37.79967,105,89088f
107.1973,Kuwait,1973,53.82557,107,93295b
108.1973,Lao PDR,1973,3.12286,108,ed2615
109.1973,Lebanon,1973,37.00997,109,5caa7f
111.1973,Libya,1973,13.95846,111,55949d
112.1973,St. Lucia,1973,30.39186,112,b17b65
115.1973,Lesotho,1973,11.49031,115,93b12b
117.1973,Luxembourg,1973,46.36984,117,507672
119.1973,"Macao SAR, China",1973,27.40046,119,eec526
128.1973,Middle income,1973,29.33934021,128,bf919c
130.1973,Mali,1973,2.59266,130,daa6a4
131.1973,Malta,1973,55.13873,131,1a591a
133.1973,Middle East & North Africa (developing only),1973,19.23554993,133,aaed09
137.1973,Mozambique,1973,2.76886,137,a40a9b
