CountryName,Year,Value,hash
United Kingdom,1972,31.554,976912
Germany,1965,31.601,17d53e
United Kingdom,1978,31.616,976912
Spain,1990,31.623,20a8df
United Kingdom,1996,31.668,976912
United Kingdom,1991,31.692,976912
United Kingdom,1967,31.796,976912
Ireland,1995,31.803,eb2131
Spain,1989,31.824,20a8df
New Zealand,1982,31.828,a2238e
Estonia,2013,31.837,f0a96d
United Kingdom,1995,31.878,976912
Canada,1985,31.883,cd6a7b
Canada,1983,31.887,cd6a7b
Spain,1991,31.895,20a8df
Portugal,2008,31.896,a49519
Luxembourg,1991,31.909,507672
Estonia,2011,31.914,f0a96d
Italy,1982,31.921,ad79ef
Israel,2008,31.922,4c197d
Poland,2013,31.925,5ff03b
New Zealand,2001,31.929,a2238e
Spain,1993,31.952,20a8df
Canada,1984,31.973,cd6a7b
Ireland,1996,31.982,eb2131
Spain,1994,31.985,20a8df
Portugal,2012,31.985,a49519
Spain,1997,31.991,20a8df
Portugal,2007,31.998,a49519
Poland,2011,32.001,5ff03b
Iceland,2009,32.007,b3c92e
Finland,1967,32.022,c909b1
Germany,1971,32.028,17d53e
Greece,2001,32.028,4902a4
Greece,2010,32.043,4902a4
Sweden,1966,32.06,72ddd2
Estonia,2012,32.087,f0a96d
Spain,2012,32.147,20a8df
Germany,1968,32.171,17d53e
Germany,1966,32.192,17d53e
Netherlands,1966,32.198,fb61c8
Canada,1974,32.205,cd6a7b
Germany,1967,32.215,17d53e
Poland,2004,32.243,5ff03b
New Zealand,1998,32.26,a2238e
Canada,2007,32.271,cd6a7b
Poland,2012,32.273,5ff03b
Spain,2008,32.307,20a8df
Canada,2005,32.318,cd6a7b
United Kingdom,2009,32.318,976912
New Zealand,1999,32.327,a2238e
United Kingdom,1997,32.348,976912
Czech Republic,2009,32.354,1fef42
Norway,1967,32.357,988455
Spain,1998,32.363,20a8df
New Zealand,2014,32.366,a2238e
New Zealand,2012,32.376,a2238e
Slovak Republic,2003,32.377,36d711
Finland,1968,32.422,c909b1
Ireland,1990,32.422,eb2131
Canada,1982,32.45,cd6a7b
Canada,2004,32.466,cd6a7b
Greece,2002,32.478,4902a4
Estonia,1999,32.487,f0a96d
Italy,1985,32.504,ad79ef
Portugal,2011,32.504,a49519
Czech Republic,1998,32.51,1fef42
Czech Republic,2000,32.521,1fef42
Ireland,1989,32.547,eb2131
New Zealand,2000,32.548,a2238e
Czech Republic,2010,32.549,1fef42
Ireland,1982,32.551,eb2131
United Kingdom,2014,32.573,976912
Netherlands,1969,32.585,fb61c8
Canada,2006,32.601,cd6a7b
Czech Republic,2001,32.613,1fef42
Poland,2003,32.623,5ff03b
Canada,1986,32.65,cd6a7b
Canada,2003,32.669,cd6a7b
Canada,1981,32.686,cd6a7b
Luxembourg,1992,32.691,507672
Slovak Republic,2001,32.697,36d711
Spain,2013,32.705,20a8df
Belgium,1966,32.723,5cb4c9
Slovak Republic,2002,32.749,36d711
Finland,1971,32.752,c909b1
United Kingdom,1974,32.773,976912
United Kingdom,2010,32.795,976912
Canada,2002,32.809,cd6a7b
Estonia,2014,32.868,f0a96d
Denmark,1969,32.869,89da12
United Kingdom,1990,32.877,976912
United Kingdom,2003,32.896,976912
Spain,1992,32.9,20a8df
Sweden,1967,32.928,72ddd2
United Kingdom,2013,32.932,976912
Italy,1984,32.987,ad79ef
United Kingdom,1968,32.991,976912
Ireland,1991,32.992,eb2131
Luxembourg,1979,32.998,507672
United Kingdom,1989,33.007,976912
Poland,2001,33.036,5ff03b
Spain,2001,33.041,20a8df
United Kingdom,2012,33.045,976912
France,1971,33.059,e3772a
Poland,2000,33.073,5ff03b
New Zealand,2003,33.129,a2238e
United Kingdom,1971,33.137,976912
Netherlands,1967,33.139,fb61c8
Poland,2002,33.169,5ff03b
Canada,1988,33.19,cd6a7b
Spain,2014,33.199,20a8df
Estonia,2010,33.204,f0a96d
New Zealand,2002,33.206,a2238e
Denmark,1968,33.218,89da12
Finland,1972,33.224,c909b1
Greece,2000,33.244,4902a4
New Zealand,2008,33.251,a2238e
Poland,2005,33.27,5ff03b
Belgium,1970,33.298,5cb4c9
United Kingdom,2002,33.299,976912
Finland,1974,33.301,c909b1
Spain,1999,33.318,20a8df
Norway,1968,33.32,988455
Spain,2003,33.323,20a8df
Iceland,2010,33.329,b3c92e
Ireland,1992,33.33,eb2131
Ireland,1993,33.331,eb2131
Czech Republic,2011,33.352,1fef42
Czech Republic,1999,33.354,1fef42
Belgium,1967,33.383,5cb4c9
United Kingdom,1980,33.383,976912
United Kingdom,2004,33.384,976912
Spain,2002,33.395,20a8df
Netherlands,1970,33.4,fb61c8
France,1966,33.405,e3772a
Spain,2000,33.407,20a8df
United Kingdom,1977,33.411,976912
Czech Republic,1996,33.412,1fef42
France,1973,33.463,e3772a
Czech Republic,2014,33.466,1fef42
Israel,2004,33.47,4c197d
France,1972,33.477,e3772a
Czech Republic,2002,33.478,1fef42
Germany,1972,33.522,17d53e
New Zealand,1988,33.527,a2238e
Czech Republic,2008,33.527,1fef42
Greece,2011,33.543,4902a4
Israel,2003,33.549,4c197d
France,1974,33.564,e3772a
United Kingdom,2011,33.583,976912
Austria,1965,33.59,593905
Luxembourg,1989,33.592,507672
Canada,1987,33.621,cd6a7b
Slovak Republic,2000,33.632,36d711
France,1965,33.637,e3772a
France,1970,33.637,e3772a
Ireland,1985,33.654,eb2131
Austria,1970,33.668,593905
Iceland,1998,33.68,b3c92e
Czech Republic,1997,33.699,1fef42
France,1967,33.733,e3772a
New Zealand,1996,33.748,a2238e
United Kingdom,2005,33.751,976912
Israel,2005,33.764,4c197d
United Kingdom,1998,33.771,976912
Netherlands,1968,33.802,fb61c8
Italy,1983,33.815,ad79ef
